Unnamed: 0,INPUT:audio,INPUT:image,OUTPUT:recording,OUTPUT:result_3d_question,OUTPUT:result_1st_question,OUTPUT:result_2nd_question,OUTPUT:result_4th_question,ASSIGNMENT:assignment_id,ASSIGNMENT:worker_id,speechkit_path,file_path,duration,new_path,new_speechkit_path,assigned_text,transcribed_text,levenstein_distance
1,https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.2.mp4,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.c334a2ee-536d-43a3-8f67-972fb9d50d7a,Yes,Yes,No,No,00028edf7c--6613ead849336b29782c831c,6a77f4ba1d04551c0c776dbd7b38e2f5,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_1.2.mp4,/home/gvchebotaryov/cloud/full/Recordings/assignment_00028edf7c--6613ead849336b29782c831c/eu.c334a2ee-536d-43a3-8f67-972fb9d50d7a.wav,36.88,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ead849336b29782c831c/eu.c334a2ee-536d-43a3-8f67-972fb9d50d7a-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_1.2-new.mp4,3,London is a famous and if her historical city it is the capital of england the united kingdom the city is quite popular for national tourists because london is home to 1 of the oldest standing Monologuisme is a western area right and journeys reactly travel to london they were very excited for the trip because this was zeltrabbed traditionally overseas from the united states,88.0
3,https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.e0508876-bb3a-4de0-a8ce-c222dd87f1ba,No,No,Yes,Yes,00028edf7c--6613eb144e5be33a301bfdde,f91d95a62d1c07da5f4ddae20e7e6b14,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8.mp4,/home/gvchebotaryov/cloud/full/Recordings/assignment_00028edf7c--6613eb144e5be33a301bfdde/eu.e0508876-bb3a-4de0-a8ce-c222dd87f1ba.wav,31.94,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eb144e5be33a301bfdde/eu.e0508876-bb3a-4de0-a8ce-c222dd87f1ba-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8-new.mp4,3,London is a famous and historic city it is the capital of england in the united kingdom the city is quite popular for international tourism because london is home to 1 of the oldest standing monarchists in the western area rita and joan recently traveled to london they were very excited for the trip because this was their 1st journey overseas from the united states,31.0
6,https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.5460ed4b-0053-4ce6-8a99-c46513a685b6,No,No,Yes,Yes,00028edf7c--6613eb8becfe467e31a1cc7f,d1d909f008d9a473e321c469b09888f6,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8.mp4,/home/gvchebotaryov/cloud/full/Recordings/assignment_00028edf7c--6613eb8becfe467e31a1cc7f/eu.5460ed4b-0053-4ce6-8a99-c46513a685b6.wav,27.46,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eb8becfe467e31a1cc7f/eu.5460ed4b-0053-4ce6-8a99-c46513a685b6-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8-new.mp4,3,London is a famous and historic city it is the capital of england in the united kingdom the city is quite popular for international tourism because london is home to 1 of the oldest standing monarchies in the western area redan joan recently traveled to london they were very excited for their trip because this was their 1st journey overseas from the united states,32.0
9,https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.2.mp4,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.c8e4cec3-f66d-4b83-85a0-e53f29555806,No,Yes,Yes,No,00028edf7c--6613ebbcde86a15063762b27,c747c9be99608de9fba149f76ace19ac,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_1.2.mp4,/home/gvchebotaryov/cloud/full/Recordings/assignment_00028edf7c--6613ebbcde86a15063762b27/eu.c8e4cec3-f66d-4b83-85a0-e53f29555806.wav,26.944000000000003,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ebbcde86a15063762b27/eu.c8e4cec3-f66d-4b83-85a0-e53f29555806-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_1.2-new.mp4,3,London is a famous historic city it is a capital of england in the united kingdom the city is quite popular for international tools and because none of his home to 1 of the oldest chinese monarchies in the western area rita and joan recently traveled to london they were very excited for their trip because this was their 1st journey overseas from the united states,52.0
11,https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.6de6adc3-809a-4d12-bc7f-caefbbeb81bd,No,Yes,Yes,No,00028edf7c--6613ebf3de86a150637630f1,d3659adf94cc79eb198eac6d53614d1e,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8.mp4,/home/gvchebotaryov/cloud/full/Recordings/assignment_00028edf7c--6613ebf3de86a150637630f1/eu.6de6adc3-809a-4d12-bc7f-caefbbeb81bd.wav,26.368,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ebf3de86a150637630f1/eu.6de6adc3-809a-4d12-bc7f-caefbbeb81bd-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8-new.mp4,3,No 1 is famous and historic city it is the capital of england in the united kingdom this is quite popular for international tourism because no no is home to 1 of the oldest standing monashees in the western area of the italian joan riesin the triboutineau named re excited to for their trip because this was their personal overseas from the united states,90.0
12,https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.2.mp4,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.e23f306e-59d7-434e-93f4-091690332aa7,Yes,No,Yes,No,00028edf7c--6613ebfe49336b29782ca539,d111a398d7d433e1a9f04c99f2e72cf2,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_1.2.mp4,/home/gvchebotaryov/cloud/full/Recordings/assignment_00028edf7c--6613ebfe49336b29782ca539/eu.e23f306e-59d7-434e-93f4-091690332aa7.wav,24.171,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ebfe49336b29782ca539/eu.e23f306e-59d7-434e-93f4-091690332aa7-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_1.2-new.mp4,3,London is a famous and historical city it is the capital of england in the united kingdom the city is quite popular for international tourism because london is home to 1 of the oldest standing monarchies in the western area rita and joan were simply traveled to london they were very excited for their trip because this was their 1st journey overseas from the united states,35.0
14,https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4,https://storage.yandexcloud.net/toloka-chebotarev/8.png,eu.9bd7ad8a-7636-4c6b-a00b-f1e6934933ef,No,Yes,Yes,No,00028edf7c--6613ec1049336b29782ca72e,4f2f868de371516304c1ebf8ffd26b78,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8.mp4,/home/gvchebotaryov/cloud/full/Recordings/assignment_00028edf7c--6613ec1049336b29782ca72e/eu.9bd7ad8a-7636-4c6b-a00b-f1e6934933ef.wav,26.9,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ec1049336b29782ca72e/eu.9bd7ad8a-7636-4c6b-a00b-f1e6934933ef-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8-new.mp4,8,You can also take 1 small laptop bag or handbag that can fit on that receipt in front of you if you have 2 bags they are total width cannot be more than the limits if your bag is too big or too heavy you will not be allowed to take it onto the plane staff will put it in the hold for you and you will have to pay extra please make sure mobile phones and other devices are fully charged so security staff can check them,37.0
15,https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.e743ec56-04ed-4df9-a9a8-9c3a76b2816d,No,Yes,Yes,No,00028edf7c--6613ec30b62087256dbd1abe,e8edcc088d3700c2b2265d71358b60fd,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8.mp4,/home/gvchebotaryov/cloud/full/Recordings/assignment_00028edf7c--6613ec30b62087256dbd1abe/eu.e743ec56-04ed-4df9-a9a8-9c3a76b2816d.wav,32.3,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ec30b62087256dbd1abe/eu.e743ec56-04ed-4df9-a9a8-9c3a76b2816d-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8-new.mp4,3,London is a famous and historic city it is the capital of england the united kingdom the city is quite biblical for international tourists because landa is home to 1 of the oldest standing monarchists in the western area rita and juan recently traveled to london they were very excited for their trip because this was their 1st journey overseas from the united states,45.0
17,https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4,https://storage.yandexcloud.net/toloka-chebotarev/8.png,eu.ccdb12cc-851f-43b2-8140-898f9fa7e3c6,No,No,Yes,No,00028edf7c--6613ec43ecfe467e31a1e3b7,992ff22d649947b497bc4948e5b2e7e8,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8.mp4,/home/gvchebotaryov/cloud/full/Recordings/assignment_00028edf7c--6613ec43ecfe467e31a1e3b7/eu.ccdb12cc-851f-43b2-8140-898f9fa7e3c6.wav,34.58,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ec43ecfe467e31a1e3b7/eu.ccdb12cc-851f-43b2-8140-898f9fa7e3c6-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8-new.mp4,8,You can also take 1 small laptop bag or handbag that can fit under the seat in front of you if you have 2 bags the total weight cannot be more than the limit if your bag is too big or to heavy you will not be allowed to take it into the plane stuff will put it in the hall for you and you will have to pay extra please make sure mobile phones and other devices are fully charged so security staff can check them,25.0
18,https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4,https://storage.yandexcloud.net/toloka-chebotarev/6.png,eu.607833bd-3df3-46ca-83bc-cbb7f32fe4ae,No,No,Yes,Yes,00028edf7c--6613ec45de86a15063763910,e2f0d277862792734a04291f00bcd13d,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8.mp4,/home/gvchebotaryov/cloud/full/Recordings/assignment_00028edf7c--6613ec45de86a15063763910/eu.607833bd-3df3-46ca-83bc-cbb7f32fe4ae.wav,30.48,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ec45de86a15063763910/eu.607833bd-3df3-46ca-83bc-cbb7f32fe4ae-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8-new.mp4,6,A red and yellow flag dancing swim between the flags they show the supervised area of the beach this means that like guys are watching that area if they are not read and yellow flags it means there s no supervision check with the left guts and if you arrange your do not go into the water black and white checkflog show you walk shows who are both riding and surfing is not allowed,69.0
