INPUT:audio	INPUT:image	OUTPUT:recording	OUTPUT:result_3d_question	OUTPUT:result_1st_question	OUTPUT:result_2nd_question	OUTPUT:result_4th_question	GOLDEN:result_3d_question	GOLDEN:result_1st_question	GOLDEN:result_2nd_question	GOLDEN:result_4th_question	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
https://storage.yandexcloud.net/toloka-chebotarev/TextB_0.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.3db8cd37-3747-4fd5-9064-8350a4a82b6d	No	No	Yes	Yes							https://platform.toloka.ai/task/42919901/00028ee7dd--6616d907af58cc72313427c1	00028ee7dd--6616d8bc2e7a54777a1516cb	00028ee7dd--6616d907af58cc72313427c1	19693f26e3c3a13e1d90699b3ced25e5	APPROVED	2024-04-10T18:23:03.969	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextB_0.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.89ebd82e-f874-4436-aebb-68f670dd872f	No	Yes	No	Yes							https://platform.toloka.ai/task/42919901/00028ee7dd--6616d90baf58cc7231342816	00028ee7dd--6616d8bc2e7a54777a1516cb	00028ee7dd--6616d90baf58cc7231342816	f0544608d33b1d21fa8b83c274b7edfc	APPROVED	2024-04-10T18:23:07.501	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextB_1.2.mp4	https://storage.yandexcloud.net/toloka-chebotarev/9.png	eu.81906ff9-6613-4249-819b-78b72fa5a33f	No	Yes	Yes	No							https://platform.toloka.ai/task/42919901/00028ee7dd--6616d9122a047670ca43f200	00028ee7dd--6616d8bc2e7a54777a151703	00028ee7dd--6616d9122a047670ca43f200	88c6720d5c9c97af0645ac86add8e41c	APPROVED	2024-04-10T18:23:14.757	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextB_1.2.mp4	https://storage.yandexcloud.net/toloka-chebotarev/9.png	eu.ec9b0d43-c9b3-44c4-8e9e-8d69646b3024	None of the above	Yes	Yes	None of the above							https://platform.toloka.ai/task/42919901/00028ee7dd--6616d9142a047670ca43f242	00028ee7dd--6616d8bc2e7a54777a151703	00028ee7dd--6616d9142a047670ca43f242	221d92407b5099e8fe0d4aac03675504	APPROVED	2024-04-10T18:23:16.848	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextB_0.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.b1fd98ed-4bf3-4762-82cc-50d91c2d1d4b	No	No	Yes	Yes							https://platform.toloka.ai/task/42919901/00028ee7dd--6616d924af58cc7231342a98	00028ee7dd--6616d8bc2e7a54777a1516cb	00028ee7dd--6616d924af58cc7231342a98	a5bbb08f38d8db08ec79f649b5636355	APPROVED	2024-04-10T18:23:32.458	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextB_0.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.461527ec-58ec-4097-82db-a0015b2df5ce	No	No	Yes	Yes							https://platform.toloka.ai/task/42919901/00028ee7dd--6616d9252a047670ca43f415	00028ee7dd--6616d8bc2e7a54777a1516cb	00028ee7dd--6616d9252a047670ca43f415	9a9fe7228cb81331a4d1bd325deb0129	APPROVED	2024-04-10T18:23:33.906	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextB_0.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/4.png	eu.31fb8ba0-8817-4542-aaa4-7ff544347299	No	No	Yes	Yes							https://platform.toloka.ai/task/42919901/00028ee7dd--6616d9375dc2d66ef7f70d70	00028ee7dd--6616d8bc2e7a54777a1516bf	00028ee7dd--6616d9375dc2d66ef7f70d70	6b9489aa8e045d3ba58df7fcec78aa99	APPROVED	2024-04-10T18:23:51.122	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextB_0.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.37087c9f-f199-4f80-8d2e-3aba799542b5	No	No	Yes	No							https://platform.toloka.ai/task/42919901/00028ee7dd--6616d9492a047670ca43f7c2	00028ee7dd--6616d8bc2e7a54777a1516cb	00028ee7dd--6616d9492a047670ca43f7c2	0093003258d3ec8b8af7e6e03f489ca5	APPROVED	2024-04-10T18:24:09.429	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextB_0.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/4.png	eu.db6fc797-7727-4a03-b8ff-2b585c0a4e7f	No	Yes	No	Yes							https://platform.toloka.ai/task/42919901/00028ee7dd--6616d956af58cc7231342fb4	00028ee7dd--6616d8bc2e7a54777a1516bf	00028ee7dd--6616d956af58cc7231342fb4	74ca70034a782a4fe1a7976ac0a52a7b	APPROVED	2024-04-10T18:24:22.577	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextB_0.8.mp4	https://storage.yandexcloud.net/toloka-chebotarev/6.png	eu.0ab717d0-f88f-435e-a4f3-89d6ff28e660	No	No	Yes	Yes							https://platform.toloka.ai/task/42919901/00028ee7dd--6616d95aaf58cc7231342ff3	00028ee7dd--6616d8bc2e7a54777a1516d9	00028ee7dd--6616d95aaf58cc7231342ff3	4f2f868de371516304c1ebf8ffd26b78	APPROVED	2024-04-10T18:24:26.956	+	
