"country","englishSpeakingCountries_isPrimary","englishSpeakingCountries_deJure","englishSpeakingCountries_deFacto","englishSpeakingCountries_notes"
"India","No","Yes","No","Two official: Hindi, English. Neither is legally declared the national language."
"United States","Yes","No","Yes",
"Pakistan","No","Yes","No","Two official: Urdu and English."
"Nigeria","Yes","Yes","Yes",
"Bangladesh","No","No","Yes",
"Philippines","Yes","Yes","No","Two official: Filipino, English."
"Tanzania","Yes","Yes","No","Two official: Swahili and English."
"United Kingdom","Yes","No","Yes",
"South Africa","Yes","Yes","Yes","English is one of many official languages."
"Kenya","Yes","Yes","Yes","Two official: Swahili and English. English is main official language for government and education."
"Uganda","Yes","Yes","Yes",
"Sudan","No","Yes","No",
"Canada","Yes","Yes","Yes","Primary except in Quebec and Nunavut."
"Ghana","Yes","Yes","Yes","English is official and lingua franca."
"Malaysia","No","No","Yes",
"Cameroon","No","Yes","No","Two official: English and French, with dozens of languages spoken."
"Australia","Yes","No","Yes",
"Sri Lanka","No","No","Yes",
"Malawi","Yes","Yes","No","English is one of many official languages."
"Zambia","Yes","Yes","Yes","English is official and lingua franca."
"Zimbabwe","Yes","Yes","No",
"Rwanda","No","Yes","No",
"Burundi","No","Yes","No","Three official: Kirundi, French, and English."
"South Sudan","Yes","Yes","No","English is one of many official languages."
"Papua New Guinea","Yes","Yes","No","Three official: Tok Pisin, English, Hiri Motu."
"United Arab Emirates","No","No","Yes",
"Israel","No","No","Yes",
"Sierra Leone","Yes","Yes","Yes","English-based creole dialect is widely spoken."
"Hong Kong","No","Yes","Yes","Two official: Chinese and English."
"Singapore","Yes","Yes","Yes","English is one of 4 official languages."
"Liberia","Yes","Yes","Yes",
"New Zealand","Yes","No","Yes",
"Ireland","Yes","Yes","Yes","Two official: Irish, English."
"Eritrea","No","Yes","No","Three official: Tigrinya, Arabic, English."
"Puerto Rico","No","Yes","Yes","Two official: Spanish and English"
"Gambia","Yes","Yes","No","English is main official language for government and education."
"Jamaica","Yes","Yes","Yes","English-based creole dialect is widely spoken."
"Qatar","No","No","Yes",
"Botswana","Yes","Yes","No","Two official: English and Tswana. English is official written language."
"Namibia","No","Yes","No","13 official languages, including English."
"Lesotho","No","Yes","No","Two official: Sesotho, English."
"Trinidad and Tobago","Yes","Yes","Yes","English-based creole dialect is widely spoken."
"Timor-Leste","No","No","Yes",
"Mauritius","No","No","Yes",
"Eswatini","No","Yes","No",
"Fiji","Yes","Yes","No","Two official: Fijian and Hindi. Widespread lingua franca, business, and educational usage."
"Guyana","Yes","Yes","Yes","English-based creole dialect is widely spoken."
"Bhutan","No","No","Yes",
"Solomon Islands","Yes","Yes","Yes","Two official: Pijin and English."
"Malta","No","Yes","No","English is main official language for government and education."
"Brunei","No","No","Yes",
"Belize","Yes","Yes","Yes","English-based creole dialect is widely spoken."
"Bahamas","Yes","Yes","Yes","English-based creole dialect is widely spoken."
"Vanuatu","No","Yes","No",
"Barbados","Yes","Yes","Yes","English-based creole dialect is widely spoken."
"Samoa","No","Yes","No",
"Curacao","No","Yes","No","English is one of 3 official languages."
"Saint Lucia","Yes","Yes","Yes","English-based creole dialect is widely spoken."
"Guam","Yes","Yes","Yes","Two official: Chamorro and English."
"Kiribati","Yes","Yes","No","English is official language."
"Grenada","Yes","Yes","Yes","English-based creole dialect is widely spoken."
"Micronesia","Yes","Yes","Yes",
"Jersey","Yes","Yes","Yes","English is one of 3 official languages."
"Tonga","No","Yes","No",
"Seychelles","No","Yes","No",
"Saint Vincent and the Grenadines","Yes","Yes","Yes","English-based creole dialect is widely spoken."
"United States Virgin Islands","No","Yes","Yes","English-based creole dialect is widely spoken."
"Antigua and Barbuda","Yes","Yes","Yes","English-based creole dialect is widely spoken."
"Isle of Man","Yes","Yes","Yes","Two official: Manx and English."
"Dominica","Yes","Yes","Yes","English-based creole dialect is widely spoken."
"Cayman Islands","Yes","Yes","Yes","English-based creole dialect is widely spoken."
"Bermuda","Yes","Yes","No","English is official language."
"Northern Mariana Islands","Yes","Yes","Yes","Two official: Chamorro and English,"
"Saint Kitts and Nevis","Yes","Yes","Yes","English-based creole dialect is widely spoken."
"Turks and Caicos Islands","No","Yes","Yes","English-based creole dialect is widely spoken."
"Sint Maarten","No","Yes","Yes","English-based creole dialect is widely spoken."
"American Samoa","No","Yes","No","No (official language)"
"Marshall Islands","No","Yes",,
"Gibraltar","No","Yes","Yes","English and Llanito are spoken on a daily basis as the primary languages."
"British Virgin Islands","No","Yes","Yes","English-based creole dialect is widely spoken."
"Palau","No","Yes","No",
"Cook Islands","No","Yes","No","Two official: Cook Islands Māori and English."
"Anguilla","No","Yes","Yes","English-based creole dialect is widely spoken."
"Nauru","No","Yes","Yes","Two official: Nauruan and English."
"Tuvalu","No","Yes","No",
"Falkland Islands","Yes","Yes","Yes","English is official language."
"Niue","No","Yes","No","Two official: Niuean and English."
