INPUT:audio	INPUT:image	OUTPUT:recording	OUTPUT:result_3d_question	OUTPUT:result_1st_question	OUTPUT:result_2nd_question	OUTPUT:result_4th_question	GOLDEN:result_3d_question	GOLDEN:result_1st_question	GOLDEN:result_2nd_question	GOLDEN:result_4th_question	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4	https://storage.yandexcloud.net/toloka-chebotarev/3.png	eu.171096d4-463b-4866-acdb-93bfb1733421	No	Yes	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd066567f51718c874503	00028f9928--662bd00df6eb632909e7793f	00028f9928--662bd066567f51718c874503	1826e44f687eda9316ca03466cc0e0b6	APPROVED	2024-04-26T16:03:50.637	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4	https://storage.yandexcloud.net/toloka-chebotarev/3.png	eu.6b756236-5df5-4a60-8bf5-d50d273b68d5	No	Yes	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd0b1cb201c62ab61b45a	00028f9928--662bd00df6eb632909e7793f	00028f9928--662bd0b1cb201c62ab61b45a	f8ee05efae6f3d2b037a64f70665e992	APPROVED	2024-04-26T16:05:05.303	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4	https://storage.yandexcloud.net/toloka-chebotarev/3.png	eu.87fa69e6-0edf-4e6e-8d77-5f1dd8bc7ecd	No	Yes	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd0b7f6eb632909e7850e	00028f9928--662bd00df6eb632909e7793f	00028f9928--662bd0b7f6eb632909e7850e	8ec4a07d8b458b1453d7f16e9821565e	APPROVED	2024-04-26T16:05:11.868	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.0.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.3fd90f1d-f066-43f8-a68a-a90593b70958	No	Yes	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd0c3375e107843bee322	00028f9928--662bd00df6eb632909e77959	00028f9928--662bd0c3375e107843bee322	ebd7ea3c17945d1044539eaf8de4d100	APPROVED	2024-04-26T16:05:23.596	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.0.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.42fbba2a-4032-428f-80b6-d70485a3bf8b	No	No	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd0cf375e107843bee3cf	00028f9928--662bd00df6eb632909e77959	00028f9928--662bd0cf375e107843bee3cf	53b50212e545c94dc3aae32037294b43	APPROVED	2024-04-26T16:05:35.348	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.f5ebf29c-d3f2-474a-b8a0-8abfc2833ca7	Yes	No	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd0e4cb201c62ab61b783	00028f9928--662bd00df6eb632909e7795f	00028f9928--662bd0e4cb201c62ab61b783	64e1ff629767402ae00ef5099f17ef49	APPROVED	2024-04-26T16:05:56.125	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.0.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.c45b3416-1d7c-4027-ac2e-3eddaf125928	None of the above	No	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd0f0567f51718c874dae	00028f9928--662bd00df6eb632909e77959	00028f9928--662bd0f0567f51718c874dae	51b9f77fd8fe727fb42a02472c564d1c	APPROVED	2024-04-26T16:06:08.837	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/3.png	eu.9b91ba36-d8f1-403e-981c-1a5bcefd8dcf	No	No	Yes	Yes							https://platform.toloka.ai/task/42965288/00028f9928--662bd0f9f6eb632909e78e79	00028f9928--662bd00df6eb632909e7793d	00028f9928--662bd0f9f6eb632909e78e79	4ff9179fb1f93646a99de398758a7544	APPROVED	2024-04-26T16:06:17.313	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.5.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.9484b3e6-956e-4c71-90e7-bf78edb66758	Yes	No	Yes	No							https://platform.toloka.ai/task/42965288/00028f9928--662bd10d567f51718c87506a	00028f9928--662bd00df6eb632909e7795f	00028f9928--662bd10d567f51718c87506a	daa441c0edae2068a5ce3b62e30b7e1e	APPROVED	2024-04-26T16:06:37.397	+	
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.0.mp4	https://storage.yandexcloud.net/toloka-chebotarev/5.png	eu.52c754a9-00b9-4814-9e90-62149cf6c805	None of the above	No	Yes	None of the above							https://platform.toloka.ai/task/42965288/00028f9928--662bd12cf6eb632909e793c5	00028f9928--662bd00df6eb632909e77959	00028f9928--662bd12cf6eb632909e793c5	1958789bf51b158cb7c4d7b98fe3d3ea	APPROVED	2024-04-26T16:07:08.436	+	
