INPUT:audio,INPUT:image,OUTPUT:recording,OUTPUT:result_3d_question,OUTPUT:result_1st_question,OUTPUT:result_2nd_question,OUTPUT:result_4th_question,ASSIGNMENT:assignment_id,ASSIGNMENT:worker_id,speechkit_path,file_path,duration,new_path,new_speechkit_path,assigned_text
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav,https://storage.yandexcloud.net/toloka-chebotarev/1.png,eu.7cc55f72-618c-4ac6-ae75-d9a27bdec249,No,No,No,No,00028edf7c--6613eacdecfe467e31a1b8cb,b2c2c06f6bf8eed800e25881029fbcf7,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eacdecfe467e31a1b8cb/eu.7cc55f72-618c-4ac6-ae75-d9a27bdec249.wav,66.72,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eacdecfe467e31a1b8cb/eu.7cc55f72-618c-4ac6-ae75-d9a27bdec249-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0-new.wav,1
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.2.mp4,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.c334a2ee-536d-43a3-8f67-972fb9d50d7a,Yes,Yes,No,No,00028edf7c--6613ead849336b29782c831c,6a77f4ba1d04551c0c776dbd7b38e2f5,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_1.2.mp4,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ead849336b29782c831c/eu.c334a2ee-536d-43a3-8f67-972fb9d50d7a.wav,36.88,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ead849336b29782c831c/eu.c334a2ee-536d-43a3-8f67-972fb9d50d7a-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_1.2-new.mp4,3
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.7e09aeb4-fa43-4c93-9434-983c2cf8495b,No,No,No,No,00028edf7c--6613eaf349336b29782c8615,6e9fdeeb3d0dfb1afd888aa5c8d347e6,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eaf349336b29782c8615/eu.7e09aeb4-fa43-4c93-9434-983c2cf8495b.wav,24.54,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eaf349336b29782c8615/eu.7e09aeb4-fa43-4c93-9434-983c2cf8495b-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0-new.wav,3
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.e0508876-bb3a-4de0-a8ce-c222dd87f1ba,No,No,Yes,Yes,00028edf7c--6613eb144e5be33a301bfdde,f91d95a62d1c07da5f4ddae20e7e6b14,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8.mp4,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eb144e5be33a301bfdde/eu.e0508876-bb3a-4de0-a8ce-c222dd87f1ba.wav,31.94,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eb144e5be33a301bfdde/eu.e0508876-bb3a-4de0-a8ce-c222dd87f1ba-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8-new.mp4,3
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav,https://storage.yandexcloud.net/toloka-chebotarev/1.png,eu.440419a1-a930-4eb2-b965-fb45c69df94e,No,No,No,No,00028edf7c--6613eb6d4e5be33a301c075d,6de9d807930d55fdddfaf3eecd0c8c13,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eb6d4e5be33a301c075d/eu.440419a1-a930-4eb2-b965-fb45c69df94e.wav,40.34,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eb6d4e5be33a301c075d/eu.440419a1-a930-4eb2-b965-fb45c69df94e-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0-new.wav,1
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.9ed5db0e-2ef0-4f2f-b2d4-831e52e2e061,No,No,No,No,00028edf7c--6613eb864e5be33a301c0a24,88068638195ce4efc7331d5bd197d567,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eb864e5be33a301c0a24/eu.9ed5db0e-2ef0-4f2f-b2d4-831e52e2e061.wav,35.68,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eb864e5be33a301c0a24/eu.9ed5db0e-2ef0-4f2f-b2d4-831e52e2e061-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0-new.wav,3
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.5460ed4b-0053-4ce6-8a99-c46513a685b6,No,No,Yes,Yes,00028edf7c--6613eb8becfe467e31a1cc7f,d1d909f008d9a473e321c469b09888f6,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8.mp4,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eb8becfe467e31a1cc7f/eu.5460ed4b-0053-4ce6-8a99-c46513a685b6.wav,27.46,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eb8becfe467e31a1cc7f/eu.5460ed4b-0053-4ce6-8a99-c46513a685b6-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8-new.mp4,3
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.1a5a377e-e993-4275-a794-0f3ff426d78d,No,No,No,No,00028edf7c--6613eb9eecfe467e31a1cf9b,3a65cde2fe52f27a7bdf0dc6037605f8,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eb9eecfe467e31a1cf9b/eu.1a5a377e-e993-4275-a794-0f3ff426d78d.wav,24.02,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613eb9eecfe467e31a1cf9b/eu.1a5a377e-e993-4275-a794-0f3ff426d78d-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0-new.wav,3
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav,https://storage.yandexcloud.net/toloka-chebotarev/1.png,eu.0b8d0e42-1e36-499d-965c-a3acb7c8ddc1,No,No,No,No,00028edf7c--6613ebacb62087256dbd0c6e,124eea5eff1fe7e815711cad89819c58,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ebacb62087256dbd0c6e/eu.0b8d0e42-1e36-499d-965c-a3acb7c8ddc1.wav,41.053,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ebacb62087256dbd0c6e/eu.0b8d0e42-1e36-499d-965c-a3acb7c8ddc1-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0-new.wav,1
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.2.mp4,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.c8e4cec3-f66d-4b83-85a0-e53f29555806,No,Yes,Yes,No,00028edf7c--6613ebbcde86a15063762b27,c747c9be99608de9fba149f76ace19ac,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_1.2.mp4,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ebbcde86a15063762b27/eu.c8e4cec3-f66d-4b83-85a0-e53f29555806.wav,26.944,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ebbcde86a15063762b27/eu.c8e4cec3-f66d-4b83-85a0-e53f29555806-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_1.2-new.mp4,3
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav,https://storage.yandexcloud.net/toloka-chebotarev/1.png,eu.e813e053-bdae-4686-bfca-f4b3997ee9f0,No,No,No,No,00028edf7c--6613ebd7ecfe467e31a1d6d7,e64e017386972491880603d77c1a4c24,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ebd7ecfe467e31a1d6d7/eu.e813e053-bdae-4686-bfca-f4b3997ee9f0.wav,37.68,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ebd7ecfe467e31a1d6d7/eu.e813e053-bdae-4686-bfca-f4b3997ee9f0-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0-new.wav,1
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.6de6adc3-809a-4d12-bc7f-caefbbeb81bd,No,Yes,Yes,No,00028edf7c--6613ebf3de86a150637630f1,d3659adf94cc79eb198eac6d53614d1e,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8.mp4,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ebf3de86a150637630f1/eu.6de6adc3-809a-4d12-bc7f-caefbbeb81bd.wav,26.368,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ebf3de86a150637630f1/eu.6de6adc3-809a-4d12-bc7f-caefbbeb81bd-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8-new.mp4,3
https://storage.yandexcloud.net/toloka-chebotarev/TextA_1.2.mp4,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.e23f306e-59d7-434e-93f4-091690332aa7,Yes,No,Yes,No,00028edf7c--6613ebfe49336b29782ca539,d111a398d7d433e1a9f04c99f2e72cf2,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_1.2.mp4,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ebfe49336b29782ca539/eu.e23f306e-59d7-434e-93f4-091690332aa7.wav,24.171,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ebfe49336b29782ca539/eu.e23f306e-59d7-434e-93f4-091690332aa7-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_1.2-new.mp4,3
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav,https://storage.yandexcloud.net/toloka-chebotarev/1.png,eu.2c1c789d-0a6a-48b6-b016-f114216f265b,No,No,Yes,No,00028edf7c--6613ec0449336b29782ca5d5,18ba98d7d16bc2cf145325fa6c1bf25d,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ec0449336b29782ca5d5/eu.2c1c789d-0a6a-48b6-b016-f114216f265b.wav,37.245,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ec0449336b29782ca5d5/eu.2c1c789d-0a6a-48b6-b016-f114216f265b-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0-new.wav,1
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4,https://storage.yandexcloud.net/toloka-chebotarev/8.png,eu.9bd7ad8a-7636-4c6b-a00b-f1e6934933ef,No,Yes,Yes,No,00028edf7c--6613ec1049336b29782ca72e,4f2f868de371516304c1ebf8ffd26b78,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8.mp4,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ec1049336b29782ca72e/eu.9bd7ad8a-7636-4c6b-a00b-f1e6934933ef.wav,26.9,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ec1049336b29782ca72e/eu.9bd7ad8a-7636-4c6b-a00b-f1e6934933ef-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8-new.mp4,8
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.e743ec56-04ed-4df9-a9a8-9c3a76b2816d,No,Yes,Yes,No,00028edf7c--6613ec30b62087256dbd1abe,e8edcc088d3700c2b2265d71358b60fd,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8.mp4,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ec30b62087256dbd1abe/eu.e743ec56-04ed-4df9-a9a8-9c3a76b2816d.wav,32.3,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ec30b62087256dbd1abe/eu.e743ec56-04ed-4df9-a9a8-9c3a76b2816d-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8-new.mp4,3
https://storage.yandexcloud.net/toloka-chebotarev/TextR_1.0.wav,https://storage.yandexcloud.net/toloka-chebotarev/3.png,eu.82eb9003-010f-4dee-998d-169647b4a7c1,None of the above,No,No,None of the above,00028edf7c--6613ec364e5be33a301c1dc7,3c16491f6215e17986c4741f6b98965f,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ec364e5be33a301c1dc7/eu.82eb9003-010f-4dee-998d-169647b4a7c1.wav,40.86,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ec364e5be33a301c1dc7/eu.82eb9003-010f-4dee-998d-169647b4a7c1-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextR_1.0-new.wav,3
https://storage.yandexcloud.net/toloka-chebotarev/TextA_0.8.mp4,https://storage.yandexcloud.net/toloka-chebotarev/8.png,eu.ccdb12cc-851f-43b2-8140-898f9fa7e3c6,No,No,Yes,No,00028edf7c--6613ec43ecfe467e31a1e3b7,992ff22d649947b497bc4948e5b2e7e8,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8.mp4,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ec43ecfe467e31a1e3b7/eu.ccdb12cc-851f-43b2-8140-898f9fa7e3c6.wav,34.58,/Users/grigorijcebotarev/Desktop/thesis/Recordings/assignment_00028edf7c--6613ec43ecfe467e31a1e3b7/eu.ccdb12cc-851f-43b2-8140-898f9fa7e3c6-new.wav,/Users/grigorijcebotarev/Desktop/thesis/Recordings/texts_speechkit/TextA_0.8-new.mp4,8
